pwm left,pwm right,srf left,srf right
43.0,27.0,222.0,165.0
44.0,26.0,228.0,163.0
45.0,25.0,224.0,161.0
46.0,24.0,222.0,158.0
47.0,23.0,220.0,156.0
48.0,22.0,218.0,154.0
49.0,21.0,216.0,152.0
50.0,20.0,227.0,152.0
51.0,20.0,225.0,150.0
52.0,20.0,209.0,146.0
53.0,20.0,193.0,144.0
54.0,20.0,200.0,144.0
55.0,20.0,175.0,143.0
56.0,20.0,21.0,142.0
57.0,20.0,16.0,139.0
58.0,20.0,16.0,137.0
59.0,20.0,167.0,136.0
60.0,20.0,138.0,134.0
61.0,20.0,170.0,132.0
62.0,20.0,17.0,130.0
63.0,20.0,17.0,128.0
64.0,20.0,17.0,126.0
65.0,20.0,173.0,123.0
66.0,20.0,17.0,121.0
67.0,20.0,119.0,140.0
68.0,20.0,118.0,137.0
69.0,20.0,124.0,136.0
70.0,20.0,110.0,160.0
71.0,20.0,105.0,131.0
72.0,20.0,103.0,156.0
73.0,20.0,100.0,26.0
74.0,20.0,98.0,128.0
75.0,20.0,95.0,148.0
76.0,20.0,92.0,148.0
77.0,20.0,91.0,148.0
78.0,20.0,88.0,146.0
79.0,20.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
